product_id,product_name,category,subcategory,cost_price
87,Outdoor_Product_087,Sports,Outdoor,16335.78
88,Fitness_Product_088,Sports,Fitness,15324.56
89,Footwear_Product_089,Fashion,Footwear,20713.23
90,Makeup_Product_090,Beauty,Makeup,26332.58
91,Sportswear_Product_091,Sports,Sportswear,4951.32
92,Home Decor_Product_092,Home & Kitchen,Home Decor,24380.8
93,Skincare_Product_093,Beauty,Skincare,26461.31
94,Personal Care_Product_094,Beauty,Personal Care,5939.52
95,Furniture_Product_095,Home & Kitchen,Furniture,6240.46
96,Kitchen_Product_096,Home & Kitchen,Kitchen,22032.18
97,Footwear_Product_097,Fashion,Footwear,20683.34
98,Fitness_Product_098,Sports,Fitness,16693.66
99,Furniture_Product_099,Home & Kitchen,Furniture,25222.92
100,Skincare_Product_100,Beauty,Skincare,479.29
101,Laptops_Product_101,Electronics,Laptops,22796.49
102,Makeup_Product_102,Beauty,Makeup,22724.5
103,Men_Product_103,Fashion,Men,3872.71
104,Equipment_Product_104,Sports,Equipment,21703.82
105,Women_Product_105,Fashion,Women,11837.04
106,Outdoor_Product_106,Sports,Outdoor,20914.2
107,Outdoor_Product_107,Sports,Outdoor,18644.74
108,Personal Care_Product_108,Beauty,Personal Care,23856.79
109,Skincare_Product_109,Beauty,Skincare,17707.84
110,Skincare_Product_110,Beauty,Skincare,19323.42
111,Equipment_Product_111,Sports,Equipment,6879.35
112,Personal Care_Product_112,Beauty,Personal Care,1726.2
113,Furniture_Product_113,Home & Kitchen,Furniture,24178.92
114,Personal Care_Product_114,Beauty,Personal Care,9764.92
115,Women_Product_115,Fashion,Women,20908.16
116,Haircare_Product_116,Beauty,Haircare,29461.78
117,Sportswear_Product_117,Sports,Sportswear,24780.15
118,Accessories_Product_118,Fashion,Accessories,11297.86
119,Audio_Product_119,Electronics,Audio,7190.35
120,Skincare_Product_120,Beauty,Skincare,18007.03
121,Footwear_Product_121,Fashion,Footwear,29950.67
122,Haircare_Product_122,Beauty,Haircare,19330.57
123,Laptops_Product_123,Electronics,Laptops,19139.89
124,Footwear_Product_124,Fashion,Footwear,12385.66
125,Makeup_Product_125,Beauty,Makeup,22238.59
126,Home Decor_Product_126,Home & Kitchen,Home Decor,6207.65
127,Skincare_Product_127,Beauty,Skincare,29392.45
128,Men_Product_128,Fashion,Men,21052.52
129,Outdoor_Product_129,Sports,Outdoor,15614.65
130,Sportswear_Product_130,Sports,Sportswear,28229.28
131,Appliances_Product_131,Home & Kitchen,Appliances,12975.26
132,Men_Product_132,Fashion,Men,25281.72
133,Equipment_Product_133,Sports,Equipment,24108.9
134,Home Decor_Product_134,Home & Kitchen,Home Decor,14566.62
135,Home Decor_Product_135,Home & Kitchen,Home Decor,1637.78
136,Appliances_Product_136,Home & Kitchen,Appliances,13189.99
137,Accessories_Product_137,Electronics,Accessories,23000.56
138,Personal Care_Product_138,Beauty,Personal Care,4190.32
139,Personal Care_Product_139,Beauty,Personal Care,14241.0
140,Outdoor_Product_140,Sports,Outdoor,8589.96
141,Furniture_Product_141,Home & Kitchen,Furniture,1233.19
142,Footwear_Product_142,Fashion,Footwear,27201.7
143,Home Decor_Product_143,Home & Kitchen,Home Decor,11230.53
144,Kitchen_Product_144,Home & Kitchen,Kitchen,23334.81
145,Skincare_Product_145,Beauty,Skincare,14704.0
146,Accessories_Product_146,Fashion,Accessories,18648.03
147,Men_Product_147,Fashion,Men,10475.73
148,Kitchen_Product_148,Home & Kitchen,Kitchen,23189.95
149,Home Decor_Product_149,Home & Kitchen,Home Decor,19964.12
150,Personal Care_Product_150,Beauty,Personal Care,16871.02
